YouTube ID,Chapter,Piece,Player,Gender,Comment
lchJ3h-4U4w,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/1_Loveliest_of_trees,_the_Cherry_now",Roderick Williams,Male,
1MMy96vig9k,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/1_Loveliest_of_trees,_the_Cherry_now",Dylan May,Male,
UZkAsZWqGIU,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/1_Loveliest_of_trees,_the_Cherry_now",Bryn Terfel,Male,
Jlz4IlSmQVE,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/1_Loveliest_of_trees,_the_Cherry_now",Sarah Richards,Female,
CqVIpAtCjl4,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/1_Loveliest_of_trees,_the_Cherry_now",Benjamin Luxon,Male,
ekViCVH1n1k,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/2_When_I_was_one_and_twenty",Bryn Terfel,Male,
UOnmoExU22E,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/2_When_I_was_one_and_twenty",Benjamin Luxon,Male,
VfBXQm8Ewc4,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/2_When_I_was_one_and_twenty",Roderick Williams,Male,
zf_YUXdzfpw,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/2_When_I_was_one_and_twenty",Ian Bostridge,Male,
9XX7B9H3V08,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/2_When_I_was_one_and_twenty",Daniel Faber,Male,
Xb-h4JrlGR0,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/3_Look_not_in_my_eyes",Bryn Terfel ,Male,
kWOEfh4SAhQ,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/3_Look_not_in_my_eyes",Ian Bostridge,Male,
LYSW7HpR6Kc,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/3_Look_not_in_my_eyes",Benjamin Luxon,Male,
_gJMCDt6T6k,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/3_Look_not_in_my_eyes",Roderick Williams,Male,
hUPKo_2LIPU,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/4_Think_no_more,_lad",Bryn Terfel,Male,
FjcYn9-3988,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/4_Think_no_more,_lad",Roderick Williams,Male,
RYxXrt257To,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/4_Think_no_more,_lad",Ian Bostridge,Male,
yntSb5WyhWw,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/4_Think_no_more,_lad",Benjamin Luxon,Male,
qBWk8Satvhc,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/4_Think_no_more,_lad",Roger McVey,Male,
ZkiXpf9OqOg,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/6_Is_my_team_ploughing",Bryn Terfel,Male,High dynamics in this
xJxLuySvo7g,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/6_Is_my_team_ploughing",James Newby,Male,
Xzso5YqPGV0,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/6_Is_my_team_ploughing",Roderick Williams,Male,
FCMdlAuqOM4,,"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/6_Is_my_team_ploughing",Peter Pears,Male,
