YouTube ID,Chapter,Piece,Player,Gender,Comment
hQvXzo_Kc0A,,"Schumann,_Robert/5_Lieder_und_Gesänge,_Op.127/4_Mein_altes_Ross",Hans Jorg Mammel,Male,
ttnx1G9Teq8,,"Schumann,_Robert/5_Lieder_und_Gesänge,_Op.127/4_Mein_altes_Ross",Christian Gerhaher,Male,
moW1p7aoDco,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Dietrich Fischer-Dieskau,Male,
gQuecLGJQDo,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Jessye Norman,Female,
ck6J-gNj_AE,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Elly Ameling,Female,
jfemK0kfo-g,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Régine Crespin,Female,
YurcVaB7uvI,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Peter Schreier,Male,
oUxmlMUH4Wg,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Ursula Anders,Female,
D7lX58w0g9g,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Matthias Goerne,Male,
os8YXsQQB4g,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Dorothea Röschmann,Female,
xXLNSSfpyVE,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Thomas Quasthoff,Male,
TX2LFO6daYk,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Bryn Terfel,Male,
xzYWgmVD3LY,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Gérard Souzay,Male,
5IN5Nxuxx-4,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Madeleine Jalbert,Female,
mvCy5ueDmLA,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Sharon Rostorf-Zamir,Female,
bE7oUSEjHww,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Vivian Hanner,Female,Looks not so established
8tRoFB06VZk,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Osef Protschka,Male,
oe4-iXOF6co,,"Schumann,_Robert/Liederkreis,_Op.39/02_Intermezzo",Rita Streich,Female,
BHqol4eO7q0,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Barbara Bonney ,Female,
nQI6IrGMGO8,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Dietrich Fischer-Dieskau,Male,
l54KJ18agQw,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Olaf Bär,Male,
hqCKbigqV6Y,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Peter Schreier,Male,
lI8x8FWaeQs,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Matthias Goerne,Male,
WkJMB3ggBNQ,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Gérard Souzay,Male,
J_UfNOBdPFU,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Thomas Quasthoff,Male,
zjHKYTv0jWM,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Elly Ameling,Female,
X0dVU2qkdr4,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Nicholas Phan,Male,
aiWj0q_pGw,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Robert Titze,Male,
ZBQ2vFsPQkk,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Sharon Rostorf-Zamir,Female,
YGhJWe8C,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Christian Gerhaher,Male,
Ksv6eH5G-n4,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Ursula Anders,Female,
mZy53KDhN0Q,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Sena Jurinac,Female,
YDfhpZz-5VI,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Dorothea Röschmann,Female,
avE5F0wkf2g,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Elisabeth Speiser,Female,
ZQ5C6kGP6Nw,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Leszek Świdziński,Mae,Maybe not very good in dynamics
Z5snxPrz7gA,,"Schumann,_Robert/Liederkreis,_Op.39/03_Waldesgespräch",Hermann Prey,Male,
