YouTube ID,Chapter,Piece,Player,Gender,Comment
R-HogSJJUwg,,"Chabrier,_Emmanuel/_/Ballade_des_gros_dindons",Gabriel Bacquier,Male,
1uY4380ePcQ,,"Chabrier,_Emmanuel/_/Ballade_des_gros_dindons",Bruno Laplante,Male,
UtAhSSbztAM,,"Chabrier,_Emmanuel/_/Ballade_des_gros_dindons",Agnes Mellon,Female,
vkzaiNAqKcU,,"Chabrier,_Emmanuel/_/Ballade_des_gros_dindons",Hugues Cuenod,Male,
kbjPzCFMhtc,,"Chabrier,_Emmanuel/_/Ballade_des_gros_dindons",Jacques Jansen,Male,
W4-bFJ7o5ZY,,"Chabrier,_Emmanuel/_/Ballade_des_gros_dindons",Erick Freulon,Male,
EFNhzTqaUmI,,"Chabrier,_Emmanuel/_/Ballade_des_gros_dindons",Bruno Laplante,Male,
dRA1ifSKCuI,,"Chabrier,_Emmanuel/_/Ballade_des_gros_dindons",Jean-Christophe Benoit,Male,
phGc2QoHYJ4,,"Chabrier,_Emmanuel/_/Chanson_pour_Jeanne",Gérard Souzay,Male,
G3tdKS6Z9-s,,"Chabrier,_Emmanuel/_/Chanson_pour_Jeanne",Agnes Mellon,Female,
MDLxci6jPAc,,"Chabrier,_Emmanuel/_/Chanson_pour_Jeanne",Barbara Hendricks,Female,
OwVbsvLSxPo,,"Chabrier,_Emmanuel/_/Chanson_pour_Jeanne",Natalie Dessay,Female,
hdx4OeppxoM,,"Chabrier,_Emmanuel/_/Chanson_pour_Jeanne",Brigitte Balleys,Female,
13vnEnfBr3I,,"Chabrier,_Emmanuel/_/Chanson_pour_Jeanne",Bruno Laplante,Male,
hdeqrb7oPD8,,"Chabrier,_Emmanuel/_/Chanson_pour_Jeanne",Erick Freulon,Male,
9kYFJdPCtm8,,"Chabrier,_Emmanuel/_/Villanelle_des_petits_canards",Bruno Laplante,Male,
avlAAX0zl2w,,"Chabrier,_Emmanuel/_/Villanelle_des_petits_canards",Maxime Melnik,Male,
1lRwdH-BfWI,,"Chabrier,_Emmanuel/_/Villanelle_des_petits_canards",Dietrich Fischer-Dieskau,Male,
WD6HmScOebA,,"Chabrier,_Emmanuel/_/Villanelle_des_petits_canards",Thomas Hampson,Male,
9U1OuiT0D2A,,"Chabrier,_Emmanuel/_/Villanelle_des_petits_canards",Bethany,Female,
1iXNZZhUeWk,,"Chabrier,_Emmanuel/_/Villanelle_des_petits_canards",Agnes Mellon,Female,
