YouTube ID,Chapter,Piece,Player,Gender,Comment
RJcd2kG0Eto,,"Satie,_Erik/_/Tendrement",Anne-Sophie Schmidt,Female,
wHUm6SWoygs,,"Satie,_Erik/_/Tendrement",Régine Crespin,Female,
R_bBFjewhBM,,"Satie,_Erik/_/Tendrement",Measha Brueggergosman,Female,
c8r7AsdFg78,,"Satie,_Erik/_/Tendrement",Sigune von Osten,Female,
SN5urI-Gy38,0,"Satie,_Erik/Socrate/1_Portrait_de_Socrate",Hugues Cuénod,Male,
WY05gn9j-aw,,"Satie,_Erik/Socrate/1_Portrait_de_Socrate",Hilke Helling,Female,
H0zNz5Fyihs,,"Satie,_Erik/Socrate/1_Portrait_de_Socrate",Barbara Hannigan,Female,
SN5urI-Gy38,2,"Satie,_Erik/Socrate/3_Mort_de_Socrate",Hugues Cuénod,Male,"almost 18 min piece, complete in this "
_pNmoIXlx6U,,"Satie,_Erik/Socrate/3_Mort_de_Socrate",Hilke Helling,Female,This part covers 8 minutes
mkBdQPC4lhI,,"Satie,_Erik/Socrate/3_Mort_de_Socrate",Hilke Helling,Female,This part covers the second part of the piece
xlMB3wnd_Bc,,"Satie,_Erik/Socrate/3_Mort_de_Socrate",Barbara Hannigan,Female,Almost 18 min piece
