YouTube ID,Chapter,Piece,Player,Gender,Comment
bdvHVmbm2-s,,"Franz,_Robert/12_Gesänge,_Op.1/01_Ihr_Auge",Thomas Hampson,Male,Only one recording for this piece
XJJ_qZ-W1y0,,"Franz,_Robert/12_Gesänge,_Op.1/04_Nun_holt_mir_eine_Kanne_Wein",Thomas Hampson,Male,
KuQuPxOlFcU,,"Franz,_Robert/12_Gesänge,_Op.1/05_O_säh_ich_auf_der_Haide_dort",Russell Malcolm,Male,This song is always sung in duets for some reason? Hence did not cumulate the data
,,"Franz,_Robert/12_Gesänge,_Op.1/08_Für_Einen",,,No audio available
kPAW3wHCaDo,,"Franz,_Robert/12_Gesänge,_Op.1/09_Jagdlied",Mitsuko Shirai,Female,
vQ3OSKjiMG4,,"Franz,_Robert/12_Gesänge,_Op.1/09_Jagdlied",Hermann Prey,Male,
N6NeHw1QTfE,,"Franz,_Robert/12_Gesänge,_Op.1/09_Jagdlied",Wolfgang Holzmair,Male,
9BvSy0gJ7fs,,"Franz,_Robert/12_Gesänge,_Op.1/09_Jagdlied",Yves Saelens,Male,
,,"	Franz,_Robert/12_Gesänge,_Op.1/10_Schlummerlied",,,No audio available
mosnI5kiRp4,,"Franz,_Robert/6_Gesänge,_Op.10/2_Stille_Sicherheit",Hermann Prey ,Male,
YAI3c-9c30E,,"Franz,_Robert/6_Gesänge,_Op.10/2_Stille_Sicherheit",Mitsuko Shirai,Female,
LGVgInx-ahU,,"Franz,_Robert/6_Gesänge,_Op.10/2_Stille_Sicherheit",Max van Egmond,Male,
vz_2vP9xWsI,,"Franz,_Robert/6_Gesänge,_Op.10/2_Stille_Sicherheit",Silke Evers,Female,
bq1DvZEvBMc,,"Franz,_Robert/6_Gesänge,_Op.14/1_Widmung",Tim Krol ,Male,
_yTGo5rTh9k,,"Franz,_Robert/6_Gesänge,_Op.14/1_Widmung",John McCormack,Male,
hT0Sv70goNM,,"Franz,_Robert/6_Gesänge,_Op.14/1_Widmung",John Charles Thomas,Male,Lot of extra noise
JQb-LMPxsgY,,"Franz,_Robert/6_Gesänge,_Op.14/1_Widmung",Turner Carson,Male,"Extra speech at the beginning, dynamics are not well imitated"
hox20SlHc6Q,,"Franz,_Robert/6_Gesänge,_Op.14/1_Widmung",Dakota Bond,Male,"Dynamics are not imitated well, lots of extra noise"
AacVkNWx_0I,,"Franz,_Robert/6_Gesänge,_Op.14/1_Widmung",Zyda Culpepper Baldwin ,Female,"Singing is good, but  she seems like a student. Dynamics are not imitated well "
,,"Franz,_Robert/6_Gesänge,_Op.14/3_Waldfahrt",,,No audio available
bkMKzvlHHzE,,"Franz,_Robert/6_Gesänge,_Op.16/6_Um_Mitternacht",William Searle,Male,
,,"Franz,_Robert/6_Gesänge,_Op.26/4_Des_Müden_Abendlied",,,No audio available
1T0gXN5aMsY,,"Franz,_Robert/6_Gesänge,_Op.26/5_Vom_Auge_zum_Herzen", Tim Krol ,Male,
7CYCZn_T4B4,,"Franz,_Robert/6_Gesänge,_Op.6/3_Auf_dem_Meere",Christian Immler ,Male,
YLpMASx1c9I,,"Franz,_Robert/6_Gesänge,_Op.6/3_Auf_dem_Meere",Yves Saelens,Male,
