YouTube ID,Chapter,Piece,Player,Gender,Comment
E4DOJhjwPME,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/1_Denn_es_gehet_dem_Menschen_wie_dem_Vieh",Dietrich Fischer-Dieskau,Male,
LaMpOQL2G48,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/1_Denn_es_gehet_dem_Menschen_wie_dem_Vieh",Gihoon Kim,Male,
OZUfEx8lwAI,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/1_Denn_es_gehet_dem_Menschen_wie_dem_Vieh",Kathleen Ferrier,Female,
YVo8an0pYrE,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/1_Denn_es_gehet_dem_Menschen_wie_dem_Vieh",Matthias Goerne,Male,
4rZGy35wkOU,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/1_Denn_es_gehet_dem_Menschen_wie_dem_Vieh","Reginald Smith, Jr.",Male,
dH4uT7toHSU,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/1_Denn_es_gehet_dem_Menschen_wie_dem_Vieh",Thomas Quasthoff,Male,
NvFKaP8ceE8,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/2_Ich_wandte_mich_und_sahe",Dietrich Fischer-Dieskau,Male,
uN_2X1Q9LC0,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/2_Ich_wandte_mich_und_sahe",Thomas Quasthoff,Male,
6QVdqAD_bYY,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/2_Ich_wandte_mich_und_sahe",Nathalie Stutzmann,Female,
PjiV0yEY8qk,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/2_Ich_wandte_mich_und_sahe",Kathleen Ferrier,Female,
28oRt_HVUis,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/2_Ich_wandte_mich_und_sahe",Matthias Goerne,Male,
h_tkSPVNHv8,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/2_Ich_wandte_mich_und_sahe",Hans Hotter,Male,
9t4IREKbYjU,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/3_O_Tod,_wie_bitter_bist_du!",Dietrich Fischer-Dieskau,Male,
qlRfwl0P0F0,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/3_O_Tod,_wie_bitter_bist_du!",Thomas Quasthoff,Male,
DZ8OT7Jh60U,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/3_O_Tod,_wie_bitter_bist_du!",Matthias Goerne,Male,
RSSUi39guI0,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/3_O_Tod,_wie_bitter_bist_du!",Kathleen Ferrier,Female,
u-axHd5Rtbo,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/3_O_Tod,_wie_bitter_bist_du!",Philip Skinner,Male,
Pe4xz8lh5wc,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/3_O_Tod,_wie_bitter_bist_du!",Christian Gerhaher,Male,
IoOW7NfImtc,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/4_Wenn_ich_mit_Menschen-_und_mit_Engelzungen_redete",Dietrich Fischer-Dieskau,Male,
WlDEnW8ObvI,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/4_Wenn_ich_mit_Menschen-_und_mit_Engelzungen_redete",Christian Gerhaher,Male,
qj8p29UAX5U,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/4_Wenn_ich_mit_Menschen-_und_mit_Engelzungen_redete",Matthias Goerne,Male,
cpBzZEsQLA8,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/4_Wenn_ich_mit_Menschen-_und_mit_Engelzungen_redete",Gihoon Kim,Male,
Pbznz6Mod5I,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/4_Wenn_ich_mit_Menschen-_und_mit_Engelzungen_redete",Aafje Heynis,Female,
wk7hBryHZEg,,"Brahms,_Johannes/4_Serious_Songs,_Op.121/4_Wenn_ich_mit_Menschen-_und_mit_Engelzungen_redete",Hermann Prey,Male,
hmJF_-d7pOY,,"Brahms,_Johannes/5_Poems,_Op.19/1_Der_Kuss",Dietrich Fischer-Dieskau,Male,
bdB6dyucpDc,,"Brahms,_Johannes/5_Poems,_Op.19/1_Der_Kuss",Róbert Morvai,Male,
aFnS3LLbWOw,,"Brahms,_Johannes/5_Poems,_Op.19/1_Der_Kuss",Lotte Lehmann,Female,
XrDKRVwOWLM,,"Brahms,_Johannes/5_Poems,_Op.19/1_Der_Kuss",Peter Anders,Male,
GuucY2OiLPM,0,"Brahms,_Johannes/5_Poems,_Op.19/1_Der_Kuss",Unknown,Male,
8t6Qejxgrhg,,"Brahms,_Johannes/6_Songs,_Op.3/1_Liebestreu",Anja Harteros,Female,
I1NdSWLMyB0,,"Brahms,_Johannes/6_Songs,_Op.3/1_Liebestreu",Bernarda Fink,Female,
bwS0vyIz6lY,,"Brahms,_Johannes/6_Songs,_Op.3/1_Liebestreu",Elisabeth Schwarzkopf ,Female,
SNXhbEYe1ow,,"Brahms,_Johannes/6_Songs,_Op.3/1_Liebestreu",Unknown,Female,
58Bsf6vOopM,,"Brahms,_Johannes/6_Songs,_Op.3/1_Liebestreu",Elīna Garanča,Female,
duXZreW_Uh4,,"Brahms,_Johannes/6_Songs,_Op.3/1_Liebestreu",Jessye Norman,Female,
ejiYLgIaMcE,,"Brahms,_Johannes/6_Songs,_Op.3/3_Liebe_und_Frühling_II",Juliane Banse,Female,
sI8Wd8ux9vo,,"Brahms,_Johannes/6_Songs,_Op.3/3_Liebe_und_Frühling_II",Elīna Garanča,Female,
kBGZjK9icKc,,"Brahms,_Johannes/6_Songs,_Op.3/3_Liebe_und_Frühling_II",Michael Nagy,Male,
VyayojbRV00,,"Brahms,_Johannes/6_Songs,_Op.3/3_Liebe_und_Frühling_II",Verena Rein,Female,
TIqPTg0lXlY,,"Brahms,_Johannes/6_Songs,_Op.3/3_Liebe_und_Frühling_II",Dietrich Fischer-Dieskau,Male,
lmGG8e1Yynk,,"Brahms,_Johannes/6_Songs,_Op.3/3_Liebe_und_Frühling_II",Roman Trekel,Male,
fuSyLMYybrY,,"Brahms,_Johannes/6_Songs,_Op.3/4_Lied_aus_dem_Gedicht_„Ivan“",Juliane Banse,Female,
n50a9wxYvX4,,"Brahms,_Johannes/6_Songs,_Op.3/4_Lied_aus_dem_Gedicht_„Ivan“",Verena Rein,Female,
9AQgw6QuR7A,,"Brahms,_Johannes/6_Songs,_Op.3/4_Lied_aus_dem_Gedicht_„Ivan“",Dietrich Fischer-Dieskau,Male,
XnSR_MhLdTg,,"Brahms,_Johannes/6_Songs,_Op.3/4_Lied_aus_dem_Gedicht_„Ivan“",Emily Klink ,Female,
pCjtQ61LfBg,,"Brahms,_Johannes/6_Songs,_Op.3/6_Lied",Dietrich Fischer-Dieskau,Male,
7H0qwiQ517g,,"Brahms,_Johannes/6_Songs,_Op.3/6_Lied",Róbert Morvai,Male,
CgqOMpKOjvc,,"Brahms,_Johannes/6_Songs,_Op.6/1_Spanisches_Lied",Elly Ameling,Female,
E7CjIT4aAJA,,"Brahms,_Johannes/6_Songs,_Op.6/1_Spanisches_Lied",Bernarda Fink,Female,
HLw5lF8QxTk,,"Brahms,_Johannes/6_Songs,_Op.6/1_Spanisches_Lied",Jessye Norman,Female,
BTMvTEPOzBA,,"Brahms,_Johannes/6_Songs,_Op.6/1_Spanisches_Lied",Lenneke Ruiten,Female,
fM6L2C5kG30,,"Brahms,_Johannes/6_Songs,_Op.6/3_Nachwirkung",Dietrich Fischer-Dieskau,Male,
