YouTube ID,Chapter,Piece,Player,Gender,Comment
HFIFmCEfuno,,"Bizet,_Georges/20_Mélodies,_Op.21/01_Chanson_d’avril",Layla Claire,Female,
axn6Jnc8uo4,,"Bizet,_Georges/20_Mélodies,_Op.21/01_Chanson_d’avril",Yvi Jänicke,Female,
T_Ht4Li-XZg,,"Bizet,_Georges/20_Mélodies,_Op.21/01_Chanson_d’avril",Lisette Oropesa,Female,
uCd50wC1-Ik,,"Bizet,_Georges/20_Mélodies,_Op.21/01_Chanson_d’avril",Joel Williams,Male,
raN9r_S_wh4,,"Bizet,_Georges/20_Mélodies,_Op.21/01_Chanson_d’avril",Tookah Sapper,Female,
jkNWezW-rSM,,"Bizet,_Georges/20_Mélodies,_Op.21/01_Chanson_d’avril",Susan Graham,Female,
3sOP5ONRq_0,,"Bizet,_Georges/20_Mélodies,_Op.21/02_Le_matin",François Gatto,Male,
mKMWHoWPIZM,,"Bizet,_Georges/20_Mélodies,_Op.21/02_Le_matin",Oksana Gachechiladze,Female,
JQdVeRHQiGg,,"Bizet,_Georges/20_Mélodies,_Op.21/02_Le_matin",Leyla Gencer,Female,The recording quality is questionable in this. We definitely need some form of normalization
B-hsGkZHUew,,"Bizet,_Georges/20_Mélodies,_Op.21/03_Vieille_chanson",Marilyn Horne,Female,
YwYB8EcqoxE,,"Bizet,_Georges/20_Mélodies,_Op.21/03_Vieille_chanson",Yvi Jänicke,Female,
hIe9aqt9na8,,"Bizet,_Georges/20_Mélodies,_Op.21/03_Vieille_chanson",Jill Brandon,Female,
sH2olX5FwUU,,"Bizet,_Georges/20_Mélodies,_Op.21/03_Vieille_chanson",Damaris Lezama,Female,
ACyg8z3mSDo,,"Bizet,_Georges/20_Mélodies,_Op.21/05_Rêve_de_la_bien-aimée",Yvi Jänicke,Female,The pieces available for this composition are quite less 
o1s6COxvBFE,,"Bizet,_Georges/20_Mélodies,_Op.21/06_J’aime_l’amour",Alina Gurina,Female,
xs8oVlMOXcE,,"Bizet,_Georges/20_Mélodies,_Op.21/06_J’aime_l’amour",François Gatto,Male,
FXO1_6PFkt8,,"Bizet,_Georges/20_Mélodies,_Op.21/07_Vous_ne_priez_pas",Yvi Jänicke,Female,
Zdolb8X3LFo,,"Bizet,_Georges/20_Mélodies,_Op.21/07_Vous_ne_priez_pas",Sylvia McNair,Female,
v2sevul9gsI,,"Bizet,_Georges/20_Mélodies,_Op.21/07_Vous_ne_priez_pas",Edgar Francken ,Male,
Ql6PLUXg3Fk,,"Bizet,_Georges/20_Mélodies,_Op.21/11_Berceuse",Simone Couderc,Female,
sg60OEP-U9A,,"Bizet,_Georges/20_Mélodies,_Op.21/11_Berceuse",William Matteuzzi,Male,
baKA6_jDmYM,,"Bizet,_Georges/20_Mélodies,_Op.21/11_Berceuse",Carole Bogard,Female,
K5DSfx_6JYA,,"Bizet,_Georges/20_Mélodies,_Op.21/11_Berceuse",Lila Deis,Female,
OeqhRSd27QI,,"Bizet,_Georges/20_Mélodies,_Op.21/13_Absence",Yvi Jänicke,Female,
X5wtlieRSEY,,"Bizet,_Georges/20_Mélodies,_Op.21/13_Absence",Vinson Cole,Male,
SxO3yL2owJ0,,"Bizet,_Georges/20_Mélodies,_Op.21/13_Absence",Female,Female,
MQ19XgljVXI,,"Bizet,_Georges/20_Mélodies,_Op.21/13_Absence",Marilyn Horne,Female,
9rdN2-GCmWs,,"Bizet,_Georges/20_Mélodies,_Op.21/13_Absence",José Carreras,Male,
w0YPWy1ULGQ,,"Bizet,_Georges/20_Mélodies,_Op.21/14_Douce_mer",Yvi Jänicke,Female,
sQS02UhefRI,,"Bizet,_Georges/20_Mélodies,_Op.21/14_Douce_mer",Simone Couderc,Female,
EADREhyrGEc,,"Bizet,_Georges/20_Mélodies,_Op.21/14_Douce_mer",Philippe Cantor,Male,
mUioCEoPDuc,,"Bizet,_Georges/20_Mélodies,_Op.21/15_Après_l’hiver",Michèle Losier,Female,
MIox03L7kEw,,"Bizet,_Georges/20_Mélodies,_Op.21/15_Après_l’hiver",Werner van Mechelen,Male,
Lfmq24GzxE0,,"Bizet,_Georges/20_Mélodies,_Op.21/16_La_coccinelle",Yvi Jänicke,Female,
XBtCRu74KN0,,"Bizet,_Georges/20_Mélodies,_Op.21/16_La_coccinelle",Julia Kogan,Female,
J8fpqRP6PXk,,"Bizet,_Georges/20_Mélodies,_Op.21/16_La_coccinelle",Thomas Hampson,Male,
VCVpMV9UGDI,,"Bizet,_Georges/20_Mélodies,_Op.21/16_La_coccinelle",Sylvia McNair,Female,
L1sI8uod8Ak,,"Bizet,_Georges/20_Mélodies,_Op.21/16_La_coccinelle",Michèle Losier,Female,
SEgxc5pUmE8,,"Bizet,_Georges/20_Mélodies,_Op.21/17_Chant_d’amour!",Yvi Jänicke,Female,
Kh_2fIBZy8Q,,"Bizet,_Georges/20_Mélodies,_Op.21/17_Chant_d’amour!",Alina Gurina,Female,
sNyMyukNAes,,"Bizet,_Georges/20_Mélodies,_Op.21/17_Chant_d’amour!",Cecilia Bartoli,Female,
UYRrsdxowis,,"Bizet,_Georges/20_Mélodies,_Op.21/17_Chant_d’amour!",Tookah Sapper,Female,
,,"Bizet,_Georges/20_Mélodies,_Op.21/18_Je_n’en_dirai_rien!",,,No recordings found
Gscog-oLaho,,"Bizet,_Georges/20_Mélodies,_Op.21/19_L’esprit_saint",Yvi Jänicke,Female,
GTJ-dDeBnp0,,"Bizet,_Georges/20_Mélodies,_Op.21/19_L’esprit_saint",Domenico Bellantone,Male,
YqF9zzyaYSs,,"Bizet,_Georges/20_Mélodies,_Op.21/20_Tarentelle",Cecilia Bartoli,Female,
XlawjXfz6Ms,,"Bizet,_Georges/20_Mélodies,_Op.21/20_Tarentelle",Angéline Le Ray,Female,
cfsyXocuRB0,,"Bizet,_Georges/20_Mélodies,_Op.21/20_Tarentelle",Tookah Sapper,Female,
UwqCMDCQJvM,,"Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur",Yvi Jänicke,Female,
yQ_wIWcbN-o,,"Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur",Maria Carla Curìa,Female,
FM1_AsUdlKc,,"Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon",Maria Carla Curìa,Female,
gQMZ_Gs72fg,,"Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon",Camille Maurane,Male,
TG9tYDIemdw,,"Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon",Bruno Laplante,Male,
xRse_qFI5S0,,"Bizet,_Georges/Feuilles_d’album/3_Sonnet",Maria Carla Curìa,Female,
q01vK-UADZc,,"Bizet,_Georges/Feuilles_d’album/3_Sonnet",Varda Kotler,Female,
bAj7U6m9Ya4,,"Bizet,_Georges/Feuilles_d’album/4_Guitare",Maria Carla Curìa,Female,
mfE-Jc6xBeM,,"Bizet,_Georges/Feuilles_d’album/4_Guitare",Yvi Jänicke,Female,
d_Ob79fip3Q,,"Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour",Loretta Liberato,Female,
Y8viyqro9wI,,"Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour",Yvi Jänicke,Female,Pervious collection until here
f14c7ta-qDU,,"Bizet,_Georges/20_Mélodies,_Op.21/08_Ma_vie_a_son_secret",Bruno Laplante,Male,
SFyQ4Ums07w,,"Bizet,_Georges/20_Mélodies,_Op.21/08_Ma_vie_a_son_secret",Israel Kastoriano,Female,
lk6aG7kqAR0,,"Bizet,_Georges/20_Mélodies,_Op.21/08_Ma_vie_a_son_secret",Yvi Jänicke,Female,
WV2Vs7aSUKo,,"Bizet,_Georges/20_Mélodies,_Op.21/08_Ma_vie_a_son_secret",Maria Bayo,Female,
cxANdBT5Ods,,"Bizet,_Georges/20_Mélodies,_Op.21/09_Pastorale",Joan Sutherland,Female,
8CgK7kKLYWw,,"Bizet,_Georges/20_Mélodies,_Op.21/09_Pastorale",Elisabeth Schwarzkopf,Female,
BWMOIC5-dqo,,"Bizet,_Georges/20_Mélodies,_Op.21/09_Pastorale",Tookah Sapper,Female,
DevZa8lvrGQ,,"Bizet,_Georges/20_Mélodies,_Op.21/09_Pastorale",Sandra Liu,Female,
T4mCUaxnHMw,,"Bizet,_Georges/20_Mélodies,_Op.21/12_La_chanson_du_fou",Dietrich Fischer-Dieskau,Male,
xxeCWj9qKig,,"Bizet,_Georges/20_Mélodies,_Op.21/12_La_chanson_du_fou",Thomas Hampson,Male,
V1HuYica_CE,,"Bizet,_Georges/20_Mélodies,_Op.21/12_La_chanson_du_fou",Marie Devellereau,Female,
8qIU8Wl7OKM,,"Bizet,_Georges/20_Mélodies,_Op.21/12_La_chanson_du_fou",Nicolai Gedda,Male,
