YouTube ID,Chapter,Piece,Player,Gender,Comment
ZjYtYhoic9w,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/3_Die_Liebende_schreibt,_MWV_K_66",Elly Ameling,Female,
2q1uwiPxN68,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/3_Die_Liebende_schreibt,_MWV_K_66",Kateryna Kasper,Female,
ZmRqOe9B43U,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/3_Die_Liebende_schreibt,_MWV_K_66",Barbara Bonney,Female,
eYyKgztdKPo,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/3_Die_Liebende_schreibt,_MWV_K_66",Gudrun Sidonie Otto,Female,
bAsZLpcEnKU,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/3_Die_Liebende_schreibt,_MWV_K_66",Lotte Lehmann,Female,
ropl6JOLeY4,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/3_Die_Liebende_schreibt,_MWV_K_66",Sarah Gilford,Female,
I6F1Q1BuTjY,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/3_Die_Liebende_schreibt,_MWV_K_66",Hannah Crocker,Female,
D3k_VinAzXA,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/5_Der_Mond,_MWV_K_122",Diana Damrau,Female,
PiAcIMOxLSY,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/5_Der_Mond,_MWV_K_122",Hans-Jörg Mammel,Male,
fY5NlKlB87g,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/5_Der_Mond,_MWV_K_122",Dietrich Fischer-Dieskau,Male,
Z85VjCeWYHc,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/5_Der_Mond,_MWV_K_122",Patrick Grahl,Male,
o2PNR110FWA,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/5_Der_Mond,_MWV_K_122",Erna Berger,Female,
ULZ4BbP6Lgs,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/5_Der_Mond,_MWV_K_122",Franz Vitzthum,Male,
9SDNrzFf0CY,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/5_Der_Mond,_MWV_K_122",Ulf Bästlein,Male,
p9iiT57jOxQ,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/5_Der_Mond,_MWV_K_122",Barbara Bonney,Female,
CaxXjYiNVdA,,"Mendelssohn,_Felix/6_Gesänge,_Op.86/5_Der_Mond,_MWV_K_122",Lotte Lehmann,Female,
