YouTube ID,Chapter,Piece,Player,Gender,Comment
8aV-FEEvqhc,,"Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring",Stacey Alleaume,Female,
d-04k2Ii-Co,,"Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring",Deborah Voigt,Female,
ZJwvY9Co_W8,,"Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring",Emma Kirkby,Female,
l1MkpY-9kQM,,"Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring",Myra Mae Meneses,Female,
9S3NRmecXyo,,"Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring",Daniel Weeks,Male,
3rhAyKMLrLU,1,"Beach,_Amy/3_Browning_Songs,_Op.44/2_Ah,_Love,_but_a_Day!",Rebecca Regan,Female,
E6JDAL_pRRI,,"Beach,_Amy/3_Browning_Songs,_Op.44/2_Ah,_Love,_but_a_Day!",Kate Royal,Female,
pCQjqU066ZM,,"Beach,_Amy/3_Browning_Songs,_Op.44/2_Ah,_Love,_but_a_Day!",Kara Dugan,Female,
j5KbtaUYQwI,,"Beach,_Amy/3_Browning_Songs,_Op.44/2_Ah,_Love,_but_a_Day!",Hayan Kim,Female,
qYwoIXJUSPw,,"Beach,_Amy/3_Browning_Songs,_Op.44/2_Ah,_Love,_but_a_Day!",Jeannie Chiang,Female,
Y8i2L2OZnYk,,"Beach,_Amy/3_Browning_Songs,_Op.44/2_Ah,_Love,_but_a_Day!",JuHye Kim,Female,
3rhAyKMLrLU,2,"Beach,_Amy/3_Browning_Songs,_Op.44/3_I_Send_My_Heart_up_to_Thee!",Rebecca Regan,Female,The annotations are on channel 1
hU1KWPLWdHo,,"Beach,_Amy/3_Browning_Songs,_Op.44/3_I_Send_My_Heart_up_to_Thee!",Iida Antola,Female,
lPd2D15o6fI,,"Beach,_Amy/3_Browning_Songs,_Op.44/3_I_Send_My_Heart_up_to_Thee!",Christina Thanisch-Smith,Female,
y0iqX2H8K6c,,"Beach,_Amy/3_Browning_Songs,_Op.44/3_I_Send_My_Heart_up_to_Thee!",Maria Ferrente,Female,
aREpQU_Dt4I,,"Beach,_Amy/3_Browning_Songs,_Op.44/3_I_Send_My_Heart_up_to_Thee!",Deborah Voigt,Female,
HcuKCzK8IIs,,"Beach,_Amy/3_Browning_Songs,_Op.44/3_I_Send_My_Heart_up_to_Thee!",Unknown,Female,
u05hBmv_7bA,,"Beach,_Amy/3_Browning_Songs,_Op.44/3_I_Send_My_Heart_up_to_Thee!",Liya Khaimova,Female,
rvgXW5QS0Z4,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/1_O_Mistress_Mine",Rahel Pailer,Female,
L_xNoT5MRCs,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/1_O_Mistress_Mine",Emma Kirkby,Female,
CM7rO6uFMck,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/1_O_Mistress_Mine",Christie Phillips,Female,
5ThntdwaW7Q,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/1_O_Mistress_Mine",Paul Groves,Male,
fCEE4_h5ME4,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/1_O_Mistress_Mine",Delia Zielinska,Female,
EgK2KW59cZ4,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/1_O_Mistress_Mine",Frieda Jolande Barck,Female,Need to cut this audio possibly
jkWldF4zd1Y,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/2_Take,_O_Take_those_Lips_Away",Virginia Mims,Female,
AAJ735zUdwI,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/2_Take,_O_Take_those_Lips_Away",Emma Kirkby,Female,
KH1xnWLOldI,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/3_Fairy_Lullaby",Bauwien van der Meer,Female,
dN3PqvTfRRM,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/3_Fairy_Lullaby",Lauralyn Kolb,Female,
A3evsktsyZI,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/3_Fairy_Lullaby",Emma Kirkby,Female,
qLDbWD-gtCE,,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/3_Fairy_Lullaby",Bryony Morison,Female,
rYJ32BmF59w,,"Beach,_Amy/4_Songs,_Op.51/1_Ich_sagte_nicht",Natalia Harrison,Female,
YRe0Ckw23mA,,"Beach,_Amy/4_Songs,_Op.51/1_Ich_sagte_nicht",Katherine Kelton,Female,
po3WkYzTiOA,,"Beach,_Amy/4_Songs,_Op.51/1_Ich_sagte_nicht",Emma Kirkby,Female,
3g4xaYR_OOQ,,"Beach,_Amy/4_Songs,_Op.51/1_Ich_sagte_nicht",Rebecca McKay,Female,
KaLWVVYgozQ,,"Beach,_Amy/4_Songs,_Op.51/2_Wir_drei",Katherine Kelton,Female,
8wD8mMeTfX8,,"Beach,_Amy/4_Songs,_Op.51/2_Wir_drei",Emma Kirkby,Female,
1Qlj0cJ4uTs,,"Beach,_Amy/4_Songs,_Op.51/2_Wir_drei",Lauralyn Kolb,Female,
X7ynZhARsO8,,"Beach,_Amy/4_Songs,_Op.51/3_Juni",Katherine Kelton,Female,
q3ErWI5zaDg,,"Beach,_Amy/4_Songs,_Op.51/3_Juni",Jennifer Piazza-Pick,Female,
bmTSEA6YWbo,,"Beach,_Amy/4_Songs,_Op.51/3_Juni",Susan Wallin,Female,
VdRsexDGKdw,,"Beach,_Amy/4_Songs,_Op.51/4_Je_demande_à_l’oiseau",Emma Kirkby,Female,
yPnNFr6EQJU,,"Beach,_Amy/4_Songs,_Op.51/4_Je_demande_à_l’oiseau",Hélène Guilmette,Female,
