YouTube ID,Chapter,Piece,Player,Gender,Comment
mYat0LEO7Mg,,"Chaminade,_Cécile/_/Alleluia",Anne Sofie von Otter,Female,
SnBhmnKrRIM,,"Chaminade,_Cécile/_/Alleluia",Julia Holoman,Female,
g8d91_zBh8s,,"Chaminade,_Cécile/_/Alleluia",Sergio Foresti,Male,
bhyr18myxXU,,"Chaminade,_Cécile/_/Amertume",Aga Winska,Female,
7en8lLiqwaU,,"Chaminade,_Cécile/_/Amoroso",Urszula Kryger,Female,
lW_Z2IM1qMs,,"Chaminade,_Cécile/_/Amoroso",Rebecca de Pont Davies,Female,
chUkIapPnCs,,"Chaminade,_Cécile/_/Amoroso",Joshua Lawlor,Male,
fv4X3e4-7Sc,,"Chaminade,_Cécile/_/Amoroso",Felsic Snyder,Female,
a-IZELVEwfI,,"Chaminade,_Cécile/_/Amour_d’automne",Emma Mildred Riggle,Female,
YFde51yNB30,,"Chaminade,_Cécile/_/Au_pays_bleu",Hélène Guilmette,Female,
39OuE2SUrog,,"Chaminade,_Cécile/_/Au_pays_bleu",Cécile Muhire,Female,
tk1hEsGGiQg,,"Chaminade,_Cécile/_/Auprès_de_ma_mie",Anne Sofie von Otter,Female,
09uLT1ufkEg,,"Chaminade,_Cécile/_/Avril_s’éveille",Oksana Lazareva,Female,
NlbU8zJSltw,,"Chaminade,_Cécile/_/Ballade_à_la_lune",Michele Mastrani,Female,
Qh3CHhgY8rA,,"Chaminade,_Cécile/_/Ballade_à_la_lune",M Lougarre,Female,Maybe has flute in it
YzcfC1zmx7Y,,"Chaminade,_Cécile/_/Ballade_à_la_lune",Sooah Park,Female,
s4lf3TyMMUw,,"Chaminade,_Cécile/_/Berceuse",Joan Sutherland,Female,
35wxlkZN-ew,,"Chaminade,_Cécile/_/Berceuse",M Lougarre,Female,
thQgqu_8RB8,,"Chaminade,_Cécile/_/Berceuse",Lila Deis,Female,
bIlOkaaTOJ8,,"Chaminade,_Cécile/_/Bonne_humeur",Anne Sofie von Otter,Female,
AOV15y8MRPA,,"Chaminade,_Cécile/_/Bonne_humeur",Anna Ziolkowski,Female,
WE4CqUA90Rs,,"Chaminade,_Cécile/_/Bonne_humeur",Maile Gutsche,Female,
OvhbuxMRrFs,,"Chaminade,_Cécile/_/Bonne_humeur",Pia Moon,Female,
_5acRcMeEuI,,"Chaminade,_Cécile/_/Chanson_de_neige",Thea Lobo,Female,
CyiPvBCQ0qo,,"Chaminade,_Cécile/_/Chanson_de_neige",Amanda Staub,Female,
OoLGxwG76vM,,"Chaminade,_Cécile/_/Chanson_de_neige",Andrea Hupman,Female,
vCksUIW7J7I,,"Chaminade,_Cécile/_/Chanson_de_neige",Zoe Jasko,Female,
zNfmm1T3JBg,,"Chaminade,_Cécile/_/Chanson_de_neige",Nataliia Tepla,Female,
Hr1iYTS0Mp8,,"Chaminade,_Cécile/_/Chanson_de_neige",Terri Rubbert,Female,
cpgb4A02oVc,,"Chaminade,_Cécile/_/Chanson_espagnole",Sabine Revault D'Allones,Female,
cuQ46v1-3mU,,"Chaminade,_Cécile/_/Chanson_groënlandaise",Thea Lobo,Female,
FqhpwtPs4fc,,"Chaminade,_Cécile/_/Colette",Felsic Snyder,Female,
IBRv6E8K_-U,,"Chaminade,_Cécile/_/Colette",Lisa Bissonnette,Female,
uCr5dF2Z9V8,,"Chaminade,_Cécile/_/Colette",Natasha Finlay,Female,
IYYW5WTLZiM,,"Chaminade,_Cécile/_/Fleur_jetée",Ben Muir,Female,
NqpQn0qsfuk,,"Chaminade,_Cécile/_/Fleur_jetée",Amanda Staub,Female,
FRUo_0rRb7c,,"Chaminade,_Cécile/_/Fleur_jetée",Excel Lied,Male,
hxGvRf0C0bI,,"Chaminade,_Cécile/_/Fleur_jetée",Evie Afflerbach,Female,
mtA7Tsa9UUQ,,"Chaminade,_Cécile/_/Fleur_jetée",Sooah Park,Female,
kur7ArRsBgM,,"Chaminade,_Cécile/_/L’absente",Hélène Guilmette,Female,
ZW4tNaFw6-I,,"Chaminade,_Cécile/_/L’absente",Amanda Staub,Female,
U-9ZbWrRImw,,"Chaminade,_Cécile/_/L’absente",Cecilia Lavilla Berganza,Female,
7o0pUPw8dE8,,"Chaminade,_Cécile/_/L’absente",Lianne Ahaorny,Female,
1woNzECN1bQ,,"Chaminade,_Cécile/_/L’absente",Urszula Kryger,Female,
uEG__XOZ3EE,,"Chaminade,_Cécile/_/L’allée_d’émeraude_et_d’or",Thea Lobo,Female,
