YouTube ID,Chapter,Piece,Player,Gender,Comment
W5jFHBBficM,,"Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie",Heidi Grant Murphy,Female,
EIcOufkqA6I,,"Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie",Louise Alder,Female,
wVZ8bNM-LIQ,,"Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie",Lauranne Oliva,Female,
q-xX-QAS2k0,,"Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie",Nicholas Phan,Male,
xuBgCtzNGW4,,"Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie",Kimberley Lynch,Female,
iCMwkZyaZDU,,"Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie",Sara LeMesh,Female,
hmAKduzz5lQ,,"Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie",Heidi Grant Murphy,Female,
38562rEmUkA,,"Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie",Milena Lange,Female,
RlXXyGvnQ1o,,"Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie",Nicholas Phan,Male,
4TseNCOAeIQ,,"Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie",Unknown,Male,
WxRJolVbL7M,,"Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie",Hélène Guilmette,Female,
AEJ8eC0kZbE,,"Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie",James Onstad,Male,
i3q2Oy5BUeQ,,"Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste",Heidi Grant Murphy,Female,
LYC7kB3qZis,,"Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste",Karin Ott,Female,
jTlGKLu2vmk,,"Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste",Alain Jacquon,Male,
swhOhBF713o,,"Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste",Nicholas Phan,Male,
bbCwh38jdGI,,"Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste",Rachel Pines,Female,
Wwhpm1LzoTg,,"Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste",Wiebke Hoogklimmer,Male,
rtQePUb-ctA,,"	Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait",Heidi Grant Murphy,Female,
FEMjl9Av-D8,,"	Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait",Emilie Inniger,Female,
Tg0iwL2QFCg,,"	Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait",Wiebke Hoogklimmer,Male,CounterTenor
Jybwep6zEi0,,"	Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait",Jean-Paul Fouchecourt,Male,
mODEgKR7HQM,,"Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit",Heidi Grant Murphy,Female,
79K7MQeqUNc,,"Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit",Katharina Konradi,Female,
0W9DLpZ8qps,,"Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit",Quinn Middleman,Female,
6Gq7QvnPaMY,,"Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit",Jean-Paul Fouchecourt,Male,
HSXE2hM4BgY,,"Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit",Wiebke Hoogklimmer,Male,
ufFnMXO7dq8,,"Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit",Karin Ott,Female,
NInBOjjn7lY,,"Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit",Nicholas Phan,Male,
F-jcHArK6Uk,,"Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve",Heidi Grant Murphy,Female,
2kk1YpPNFqc,,"Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve",Wiebke Hoogklimmer,Male,
fwliQ_Gb0_Q,,"Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve","Jean-Paul Fouchecourt",Male,
TKZktxNvlXI,,"Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve",Sandrine Piau,Female,
d4szqsuRx_c,,"Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve",Alexandra Whitfield,Female,
OfUpy5GbWcY,,"Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve",Cyrille Dubois,Male,
nfpHVRmV1CM,,"Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant",Heidi Grant Murphy,Female,
Aq_HvJ9ZEM4,,"Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant",Nicholas Phan,Male,
VmTzAKaipPY,,"Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant",Jean-Paul Fouchecourt,Male,
po1hzTRn_CE,,"Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant",Wiebke Hoogklimmer,Male,
0ExQ6s7jb-s,,"Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant",Émile Naoumoff,Female,
yJuTOYu4MwE,,"Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant",Cyrille Dubois,Male,
