YouTube ID,Chapter,Piece,Player,Gender,Comment
oQJzc-u79f0,,"Chausson,_Ernest/7_Mélodies,_Op.2/1_Nanny",Véronique Gens,Female,
_AVf21fo57c,,"Chausson,_Ernest/7_Mélodies,_Op.2/1_Nanny",Gerard Souzay,Male,
iQKgsvSjuI0,,"Chausson,_Ernest/7_Mélodies,_Op.2/1_Nanny",Adriana Viñuela,Female,
1cDGqr2yDd4,,"Chausson,_Ernest/7_Mélodies,_Op.2/1_Nanny",Theodora Ivanova Nestorova,Female,
ZhdiH0lX5fw,,"Chausson,_Ernest/7_Mélodies,_Op.2/2_Le_Charme",Melissa Flummerfelt,Female,
uXaFjGLMUKQ,,"Chausson,_Ernest/7_Mélodies,_Op.2/2_Le_Charme",Gerard Souzay,Male,
uCQ5YU5R8EE,,"Chausson,_Ernest/7_Mélodies,_Op.2/2_Le_Charme",Tessa Fackelmann,Female,
A8fPeoHLKdg,,"Chausson,_Ernest/7_Mélodies,_Op.2/2_Le_Charme",Véronique Gens,Female,
Kg3R-MHu_KI,,"Chausson,_Ernest/7_Mélodies,_Op.2/2_Le_Charme",Hailey McAvoy,Female,
kS5-NJahGw8,,"Chausson,_Ernest/7_Mélodies,_Op.2/2_Le_Charme",Jessye Norman,Female,
0rckx3V5Kac,,"Chausson,_Ernest/7_Mélodies,_Op.2/2_Le_Charme",Bruno Laplante,Male,
6YpEXJkzSPw,,"Chausson,_Ernest/7_Mélodies,_Op.2/4_La_dernière_feuille",Véronique Gens,Female,
6xCj39ky1VQ,,"Chausson,_Ernest/7_Mélodies,_Op.2/4_La_dernière_feuille",Jessye Norman,Female,
gG9s-7jJCeQ,,"Chausson,_Ernest/7_Mélodies,_Op.2/4_La_dernière_feuille",Arleen Augur,Female,
5s1dmySwB0o,,"Chausson,_Ernest/7_Mélodies,_Op.2/4_La_dernière_feuille",Brigitte Balleys,Female,
eX7s0rUwMe8,,"Chausson,_Ernest/7_Mélodies,_Op.2/4_La_dernière_feuille",Kimy Mc Laren,Female,
