YouTube ID,Chapter,Piece,Player,Gender,Comment
Crwzlon979I,,"Fauré,_Gabriel/3_Songs,_Op.7/1_Après_un_rêve",Sabine Devieilhe,Female,
lMKyTAe6yeM,,"Fauré,_Gabriel/3_Songs,_Op.7/1_Après_un_rêve",Véronique Gens,Female,
u9h8dbzRtHs,,"Fauré,_Gabriel/3_Songs,_Op.7/1_Après_un_rêve",Gerard Souzay,Male,
BVQzLH6FH7M,,"Fauré,_Gabriel/4_Songs,_Op.51/4_La_rose",Elly Ameling,Female,
gUHVL3_iZw,,"Fauré,_Gabriel/4_Songs,_Op.51/4_La_rose",Gérard Souzay,Male,
dcwsvbJPyTA,,"Fauré,_Gabriel/4_Songs,_Op.51/4_La_rose",Yann Beuron,Male,
2OPo21YPMvw,,"Fauré,_Gabriel/4_Songs,_Op.51/4_La_rose",Christiane Karg,Female,
ABovilaTUr4,,"Fauré,_Gabriel/4_Songs,_Op.51/4_La_rose",Nikka Lopez,Female,
TtrTErTCA3s,,"Fauré,_Gabriel/4_Songs,_Op.51/4_La_rose",Hélène Guilmette,Female,
kmzcKLYVTD8,,"Fauré,_Gabriel/4_Songs,_Op.51/4_La_rose",Massimo Crispi,Male,
oFwAZTAppso,,"Fauré,_Gabriel/4_Songs,_Op.51/4_La_rose",Frederica von Stade,Female,
n_9mPxHOlQg,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/2_En_sourdine",Coline Dutilleul,Female,
KMoos40OKaw,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/2_En_sourdine",Gérard Souzay,Male,
5H5WZWF1xYU,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/2_En_sourdine",Renée Fleming,Female,
4-lJKx19XZQ,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/2_En_sourdine",Patricia Petibon,Female,
_uUAg4xwmHM,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/2_En_sourdine",Bernard Kruysen,Male,
ib8ysG7KXj0,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/2_En_sourdine",Nathalie Stutzmann,Female,
zNnci8iAy_8,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/2_En_sourdine",Karina Gauvin,Female,
BfBfHIF7yoM,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/2_En_sourdine",Veronique Dietschy,Female,
oEEWQ5nWR00,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/2_En_sourdine",Camille Maurane,Male,
A88SMbElXhM,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/3_Green",Gérard Souzay,Male,
KxLghiggN20,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/3_Green",Ailish Tynan,Female,
1iG2DHsT_og,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/3_Green",Veronique Dietschy,Female,
NFjf0rRtrso,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/3_Green",Yann Beuron,Male,
IQ0zDbxmly4,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/3_Green",Marc Boucher,Male,
WvfovQnWK2g,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/3_Green",Ann Murray,Female,
Maxrx_ibJI4,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/3_Green",Jacques Herbillon,Male,
LDzF260CTek,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/5_C’est_l’extase",Jacques Herbillon,Male,
p4FOi4jroJA,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/5_C’est_l’extase",Ailish Tynan,Female,
HWu2cH_z_E,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/5_C’est_l’extase",Ann Murray,Female,
wZi7IF8jPE4,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/5_C’est_l’extase",Gérard Souzay,Male,
JTcg9OgYOhk,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/5_C’est_l’extase",Elly Ameling,Female,
Sc63wOxbGQM,,"Fauré,_Gabriel/Cinq_Mélodies,_Op.58/5_C’est_l’extase",Veronique Dietschy,Female,
