YouTube ID,Chapter,Piece,Player,Gender,Comment
zKYcoO2mvWo,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/11_Mein!",Thomas Quasthoff,Male,
82ZQnnQ0SJg,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/11_Mein!",Brigitte Fassbaender,Female,
83RyC77Lye0,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/11_Mein!",Dietrich Fischer-Dieskau,Male,
DD6m0Rnv65o,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/11_Mein!",Matthias Goerne,Male,
fyG4Ax2Omz8,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/11_Mein!",Andrè Schuen,Male,
_VqxZPi5tUo,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/11_Mein!",Ian Bostridge,Male,
577ln28HiXU,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/15_Eifersucht_und_Stolz",Ian Bostridge,Male,
d7cXBaOVdVs,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/15_Eifersucht_und_Stolz",Unknown,Male,
VcLeRsivYRE,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/15_Eifersucht_und_Stolz",Dietrich Fischer-Dieskau,Male,
FkCuKCVqU14,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/15_Eifersucht_und_Stolz",Andrè Schuen,Male,
zqbbRIXbtg8,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/15_Eifersucht_und_Stolz",Brigitte Fassbaender,Female,
jAqGtaQ6YT0,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/15_Eifersucht_und_Stolz",Thomas Quasthoff,Male,
9PmCU86CHRA,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/15_Eifersucht_und_Stolz",Hermann Prey,Male,
wGeqaSgGWS0,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/15_Eifersucht_und_Stolz",Christian Gerhahe,Male,
4ee6MJGeHjU,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/15_Eifersucht_und_Stolz",Fritz Wunderlich,Male,
XjkI_IOH_d8,,"Schubert,_Franz/Die_schöne_Müllerin,_D.795/15_Eifersucht_und_Stolz",Jonas Kaufmann,Male,
VPOuO7q4W4k,,"Schubert,_Franz/Op.52/1_Ellens_Gesang_I,_D.837",Elly Ameling,Female,
x72-uCY_hSQ,,"Schubert,_Franz/Op.52/1_Ellens_Gesang_I,_D.837",Ruth Ziesak,Female,
a9DfsQPhBt4,,"Schubert,_Franz/Op.52/1_Ellens_Gesang_I,_D.837",Sarah Connolly,Female,
flyRM9DuWU8,,"Schubert,_Franz/Op.52/1_Ellens_Gesang_I,_D.837",Jessye Norman,Female,
EYup_ZnBL8A,,"Schubert,_Franz/Op.52/1_Ellens_Gesang_I,_D.837",Gundula Janowitz,Female,
iIRI7ABtT-E,,"Schubert,_Franz/Op.52/1_Ellens_Gesang_I,_D.837",Anna Lucia Richter,Female,
Q-9omjHpFM4,,"Schubert,_Franz/Op.52/1_Ellens_Gesang_I,_D.837",Anna Prohaska,Female,
vzOCokM1sO4,,"Schubert,_Franz/Op.52/1_Ellens_Gesang_I,_D.837",Christine Schäfer,Female,Claps at the beginning
11frpQCIsg0,,"Schubert,_Franz/Op.52/1_Ellens_Gesang_I,_D.837",Johannette Zomer,Female,
QD9-2-Iv_pk,,"Schubert,_Franz/Op.52/1_Ellens_Gesang_I,_D.837",Sibylla Rubens,Female,
L1zXPQmX9Lc,,"Schubert,_Franz/Op.52/2_Ellens_Gesang_II,_D.838",Elly Ameling,Female,
TTzF9Kp4sHI,,"Schubert,_Franz/Op.52/2_Ellens_Gesang_II,_D.838",Jessye Norman,Female,
qYg3fG9k2i4,,"Schubert,_Franz/Op.52/2_Ellens_Gesang_II,_D.838",Ruth Ziesak,Female,
J0LWq5f2LxY,,"Schubert,_Franz/Op.52/2_Ellens_Gesang_II,_D.838",Anna Lucia Richter,Female,
9EAIvCtplJU,,"Schubert,_Franz/Op.52/2_Ellens_Gesang_II,_D.838",Gundula Janowitz,Female,
4d6rHgego6g,,"Schubert,_Franz/Op.52/2_Ellens_Gesang_II,_D.838",Doreen de Feis,Female,
Q2x4dqjUt5s,,"Schubert,_Franz/Op.52/2_Ellens_Gesang_II,_D.838",Martha Guth,Female,
bht1KjFS4uQ,,"Schubert,_Franz/Op.52/2_Ellens_Gesang_II,_D.838",Christine Schäfer,Female,Claps at the beginning
WP-CfYW3Pts,,"Schubert,_Franz/Op.52/2_Ellens_Gesang_II,_D.838",Elena Gerhardt,Female,Not very good audio quality
yUziiIrj_bI,,"Schubert,_Franz/Op.52/2_Ellens_Gesang_II,_D.838",Carolyn Sampson,Female,
kcjkE94Ot-M,,"Schubert,_Franz/Op.52/7_Lied_des_gefangenen_Jägers,_D.843",Dietrich Fischer-Dieskau,Male,
QX-ZK0Po1EY,,"Schubert,_Franz/Op.52/7_Lied_des_gefangenen_Jägers,_D.843",Ian Bostridge,Male,
JBpZXs9-zyo,,"Schubert,_Franz/Op.52/7_Lied_des_gefangenen_Jägers,_D.843",Roman Trekel,Male,
myLDYEhEnSQ,,"Schubert,_Franz/Op.52/7_Lied_des_gefangenen_Jägers,_D.843",Christoph Prégardien,Male,
JNR6m1wZMy0,,"Schubert,_Franz/Op.52/7_Lied_des_gefangenen_Jägers,_D.843",Jon-Paul Décosse,Male,
h9LwoWOFlxE,,"Schubert,_Franz/Op.52/7_Lied_des_gefangenen_Jägers,_D.843",Jasper Schweppe,Male,"This version is in English, unlike others that are in German/Austrian"
ptedYn0vHug,,"Schubert,_Franz/Op.60/1_Greisengesang,_D.778",Dietrich Fischer-Dieskau,Male,
NxEp6jLWV74,,"Schubert,_Franz/Op.60/1_Greisengesang,_D.778",Christian Gerhaher,Male,
n94LDyTo2Ys,,"Schubert,_Franz/Op.60/1_Greisengesang,_D.778",Sharon Carty,Female,
